z_spec,MAG_u,MAG_g,MAG_r,MAG_i
1.17615,23.46585,23.52425,23.141525,22.680458
0.20407,24.489388,24.280346,23.87081,23.613829
1.2812,24.780027,23.825453,23.609774,23.13042
1.07123,22.34822,22.50674,22.66779,22.2831
0.73747,24.546633,24.441654,24.058584,23.202665
1.30927,24.418858,24.256662,24.090012,23.938414
1.01331,23.559017,23.555147,23.601131,23.252748
1.29117,24.292414,24.1541,23.955421,23.623352
0.73997,24.009985,23.489685,23.177128,22.38
0.99151,24.061724,23.463667,23.054775,22.794888
0.746,23.297247,23.521305,23.73977,23.227743
0.8712,23.80026,23.847351,23.977335,23.721931
1.08545,23.378525,23.672197,23.320711,23.097221
1.19282,24.34202,23.99099,23.631437,23.487797
0.91498,23.03086,22.828346,22.725172,22.41306
0.78381,23.541101,23.523354,23.732046,23.45611
0.7921,23.004805,22.817904,22.449068,21.595531
0.75329,22.821684,22.82169,22.466997,21.732925
0.87973,21.79691,21.803482,21.824116,21.341564
1.21228,24.351164,24.103355,23.888758,23.215982
0.9373,24.016497,24.18528,24.000238,23.774374
1.06764,23.017769,23.272886,23.32838,23.074806
0.94868,24.074827,24.22867,23.802355,23.147474
0.88597,22.01895,22.021864,22.017935,21.608173
1.09493,22.463676,22.403149,22.28116,21.957579
1.30726,23.84637,23.720364,23.428453,23.202797
0.66719,24.61651,23.63828,23.255495,22.56376
0.73422,23.301876,23.703638,24.021387,23.81281
0.84355,24.249685,24.047678,23.967031,23.610003
1.09636,24.60144,24.344526,24.007185,23.01704
1.19776,25.03589,24.402355,24.099169,23.586931
1.11724,23.326988,23.196291,23.339361,23.16778
0.79354,24.296776,23.97714,23.612446,23.073677
0.30193,24.123644,23.284336,22.837753,22.548372
0.89281,23.491947,23.409382,23.249107,22.678356
0.78707,22.509586,22.280205,21.876583,21.132387
1.03963,24.754566,23.619246,23.948093,23.698902
1.21161,23.310495,23.587397,23.662832,23.539343
1.05713,23.9082,23.406197,22.979948,22.823273
1.12776,24.825634,24.03719,24.011574,23.336765
1.10359,23.982649,23.840641,23.93442,23.346708
0.68703,23.724157,23.4926,23.205847,23.086231
0.86195,23.713165,23.66733,23.638548,23.080227
0.81256,23.979244,23.99681,23.605425,23.128534
0.7507,24.382896,24.36343,23.959023,23.321804
1.14137,23.270292,23.263144,23.047533,22.667368
1.32457,23.106342,23.304619,23.297497,23.130566
0.82299,23.393902,23.487247,23.669395,23.476727
1.05845,23.633707,24.164118,23.972595,23.75132
1.09347,24.292624,23.853168,23.843954,23.19209
1.30991,22.727245,22.634775,22.300638,22.064068
0.94575,22.746933,22.948452,22.579113,22.251772
0.85651,22.088884,21.956375,21.863342,21.195642
1.09444,23.227818,23.208063,23.008709,22.840649
0.8045,22.702267,22.548754,22.498379,21.889996
0.92871,23.641329,23.768866,23.793901,23.288618
