z_phot,MAG_u,MAG_g,MAG_r,MAG_i
1.097,25.174307,24.736696,24.108957,24.231737
0.647,23.81469,23.576118,23.152502,22.680227
0.587,99,25.904423,24.287195,23.064796
1.307,23.53211,23.48385,23.439987,23.425379
0.927,23.76237,23.714987,23.718082,22.853876
0.297,99,22.86701,21.493402,20.863167
1.237,23.975782,23.77688,23.83336,23.63057
0.247,22.804508,21.765902,20.672228,20.350557
0.777,24.760057,24.853888,23.51952,22.648407
0.537,24.172127,24.350441,23.67289,23.905813
0.887,23.766933,24.242655,23.771833,22.942135
0.597,22.18134,21.756252,20.958445,20.618177
0.227,24.679834,23.578777,22.872171,22.486284
0.667,24.761301,24.587217,24.058027,24.026423
0.357,23.187464,22.932297,22.19134,22.177633
0.747,25.106268,24.848923,24.189936,23.246798
0.887,24.346355,24.18993,23.667831,23.008406
0.807,24.33055,23.682547,23.23517,22.374886
0.607,99,24.197844,23.560064,23.518673
1.397,24.22515,24.04411,24.0466,23.889566
0.737,22.044968,22.000515,21.716585,21.10962
0.257,25.181032,24.100843,23.64357,23.602005
1.257,23.855022,23.652618,23.657005,23.823912
1.377,24.960411,24.654184,24.672285,24.72251
0.997,99,24.584328,22.86331,21.701258
0.457,21.49964,21.212547,20.620522,20.414232
1.397,22.938248,22.984419,23.080383,23.355978
0.777,25.217134,25.042582,24.901638,23.407259
0.487,24.712559,23.957212,23.271622,23.139318
1.077,23.458609,23.39887,23.162483,22.881279
1.377,24.373781,23.883547,23.693926,24.103645
1.077,24.509447,24.167679,23.404993,23.23796
0.227,22.095882,21.161484,20.394579,20.104385
1.037,22.817457,22.75339,22.41497,21.906975
1.127,23.506748,23.696096,23.477142,23.403276
1.087,23.982645,23.759735,23.402475,23.622513
0.267,22.859425,22.813871,22.582893,22.89994
0.557,24.781055,24.09748,22.717066,22.099686
0.807,99,24.33772,23.425602,22.461046
0.517,24.229431,24.359161,23.429447,23.241371
0.617,24.272709,23.976507,23.633566,22.81921
0.977,24.620878,24.682844,24.46166,24.242228
0.407,24.519783,23.777254,23.058018,22.772835
0.277,20.835037,20.237318,19.598194,19.334227
0.797,24.361954,24.21002,23.748272,23.361076
0.927,23.964703,23.796715,23.948784,23.06402
0.847,99,24.526402,23.629826,22.35619
0.257,21.353062,20.54173,19.728966,19.460733
0.767,99,25.440792,24.542221,23.291164
0.107,22.614895,22.272,22.16126,22.036484
0.357,22.91845,22.790024,21.972015,21.858513
0.877,23.258839,23.23413,23.060755,22.643093
0.537,25.06695,24.2242,23.656706,23.584974
1.067,23.019232,23.115675,22.6998,22.408852
1.357,24.767906,24.6988,24.123497,24.231186
0.337,21.280535,20.817133,20.073196,19.921007
1.057,23.878698,24.399393,23.912613,23.757023
0.577,99,24.420963,22.412092,21.37202
0.227,21.52542,20.878218,20.37169,20.207985
0.887,23.145262,23.18506,22.750816,22.083363
0.367,22.730814,22.24302,21.391554,21.256718
0.427,22.14539,22.036812,21.74582,21.643646
1.307,22.375313,22.317848,22.589617,22.135542
1.067,23.659561,23.876585,23.79124,23.38001
0.427,22.3667,22.217613,21.910738,21.768015
0.907,23.897594,24.139118,23.450724,22.993702
0.687,22.50255,22.40114,22.093122,21.903234
0.397,22.79956,22.710264,22.086267,22.00649
0.857,22.481354,22.298237,21.970211,21.225124
0.257,24.034206,23.540398,23.0882,22.98598
0.637,22.934414,22.247967,21.219936,20.57156
0.927,24.962658,24.941921,24.0226,22.911615
0.387,23.432768,24.222492,23.168406,22.984152
0.487,25.000793,23.692589,22.594814,22.294132
0.847,24.437063,24.23466,23.810747,23.444893
0.477,99,22.881895,21.5267,20.722261
0.677,22.975456,22.735613,22.33503,21.981855
0.727,99,24.551502,24.106882,23.032955
1.237,23.127697,22.72759,22.182554,21.84114
0.667,23.748623,24.072905,23.093637,22.171722
0.667,23.631525,23.512167,22.99883,23.067076
0.527,21.979753,21.921175,21.282658,21.137806
0.747,23.301586,23.341776,22.695055,21.56296
0.407,22.215786,22.08848,21.374865,21.061478
0.677,23.155373,22.97703,22.467777,21.797016
0.787,24.026682,23.521742,23.063988,22.409964
0.647,24.116589,23.018684,21.363558,20.359968
1.367,24.332455,24.066702,23.974812,24.224087
0.807,99,24.20659,23.293795,22.702986
1.117,24.157347,24.568348,23.915482,23.694197
1.047,23.046633,23.13187,23.037579,22.76254
0.217,22.773605,22.187897,21.75519,21.709057
0.577,24.43814,24.090626,23.550207,23.686207
1.307,24.033802,24.16097,23.919247,23.834286
1.257,22.438915,22.252338,22.135775,22.157398
0.997,22.605373,22.502398,22.260899,21.71282
0.707,23.543512,22.728989,21.6881,20.80032
0.607,25.319738,25.462524,24.770771,24.41517
0.707,24.415234,24.259354,23.512821,22.782732
0.787,24.016607,23.80666,23.527338,23.630375
0.727,24.770145,25.109257,24.154392,23.816551
0.257,99,23.23346,21.692377,21.128832
0.337,24.84197,24.33604,23.701218,23.630886
0.997,24.152853,24.357922,23.977247,23.72056
0.647,24.038954,23.551632,23.075626,22.800068
0.667,25.159443,24.106804,23.654472,23.849781
0.967,22.761372,22.603048,22.400297,22.033434
0.707,25.117752,24.499397,23.943981,23.253963
0.317,24.30764,23.89881,23.362434,23.275812
0.607,24.84209,24.443216,23.031149,22.475832
1.267,24.187855,24.059696,23.868938,24.049831
1.057,23.952763,24.406055,24.024128,23.88038
0.837,23.964523,24.041252,23.634295,22.918293
1.387,23.927725,23.644495,23.902002,23.842186
0.457,99,24.930494,23.66467,23.629768
0.467,99,25.82178,24.291708,24.862535
0.847,24.302265,24.065397,23.741936,22.736012
0.197,24.13469,23.202345,22.950663,22.583813
0.777,99,25.693167,23.399035,22.546906
0.597,25.212137,24.19164,23.777937,23.11707
0.597,24.198994,23.993065,23.350649,22.96057
1.157,24.01846,24.34643,24.116463,24.097214
0.667,25.146694,24.427607,24.068628,24.123919
0.447,99,24.550713,23.165827,22.784702
1.407,22.994335,23.078941,23.205032,22.854214
1.047,23.072945,23.158297,22.949894,22.621733
0.967,23.557543,24.106924,23.611586,23.141335
0.287,23.761747,23.00914,22.228857,22.015543
0.987,25.102415,24.788752,24.011442,24.244993
0.597,24.016407,23.568283,23.065632,22.74617
1.387,24.37423,24.153181,23.860983,23.72302
1.007,23.676693,23.15619,22.44709,21.87753
0.887,23.96001,23.73157,23.937243,23.066555
1.087,24.639313,25.81813,23.705795,22.377747
0.977,25.184338,25.233105,24.494907,24.383202
0.647,99,24.69346,23.90517,23.37024
0.487,24.571304,24.176437,23.183395,23.76424
0.617,99,25.123852,23.2931,22.62263
0.777,24.987814,24.756323,24.248611,23.3674
0.887,23.319374,23.111994,22.689747,21.876638
0.617,24.707798,24.365984,23.764086,23.225023
0.857,24.382666,23.908394,24.017986,23.291111
0.617,24.495483,24.182858,23.686367,23.338121
0.967,22.884031,23.938244,23.246492,22.769754
0.767,24.327093,23.897087,23.409546,22.324871
0.297,99,22.878334,21.455976,20.774437
0.877,23.79079,23.254726,22.727747,22.07604
0.937,23.521755,23.567621,23.591755,22.909405
0.387,99,24.284687,23.593979,23.271036
0.987,24.65681,24.67514,24.083628,23.785482
1.397,23.572073,23.581415,23.40876,23.819075
0.967,24.500254,24.8199,24.13508,23.650768
0.677,23.985643,23.187214,22.772211,22.408602
0.837,24.939787,24.437737,24.208706,23.426186
0.827,99,24.571308,24.113672,23.58221
0.877,22.803635,22.805517,22.7212,22.208103
0.897,23.888807,23.417814,22.911533,22.290169
0.537,24.00825,25.55336,23.717861,24.095997
0.497,23.946783,24.356318,23.478607,23.499054
0.877,22.77721,22.611654,22.025555,21.159197
